# Johnson L band response function, taken from Bessell et al. 1988 table IV
# wavelength  throughput
30400.0 0.00
30800.0 0.02
31200.0 0.09
31600.0 0.38
32000.0 0.30
32400.0 0.50
32800.0 0.61
33200.0 0.41
33600.0 0.50
34000.0 0.61
34400.0 0.70
34800.0 0.85
35200.0 0.88
35600.0 0.84
36000.0 0.84
36400.0 0.84
36800.0 0.86
37200.0 0.65
37600.0 0.19
38000.0 0.04
38400.0 0.00
