# Johnson K' band response function (from Mike Bessel Feb 1998)
# wavelength  throughput
18400.0 0.000
18600.0 0.002
18800.0 0.020
19000.0 0.018
19200.0 0.041
19400.0 0.139
19600.0 0.292
19800.0 0.648
20000.0 0.533
20200.0 0.596
20400.0 0.897
20600.0 0.715
20800.0 0.930
21000.0 0.967
21200.0 0.976
21400.0 0.962
21600.0 0.934
21800.0 0.900
22000.0 0.884
22200.0 0.871
22400.0 0.853
22600.0 0.769
22800.0 0.568
23000.0 0.304
23200.0 0.137
23400.0 0.064
23600.0 0.027
23800.0 0.012
24000.0 0.000
