# Johnson K band response function
# wavelength  throughput
19400.0 0.00
19600.0 0.12
19800.0 0.20
20000.0 0.30
20200.0 0.55
20400.0 0.74
20600.0 0.55
20800.0 0.77
21000.0 0.85
21200.0 0.90
21400.0 0.94
21600.0 0.94
21800.0 0.95
22000.0 0.94
22200.0 0.96
22400.0 0.98
22600.0 0.97
22800.0 0.96
23000.0 0.91
23200.0 0.88
23400.0 0.84
23800.0 0.75
24000.0 0.64
24400.0 0.10
24800.0 0.00
